gid	RNAkb	gene	firstRPKM	expandedRPKM	finalRPKM	fractionMulti
100008564	17.422	RP23-273B19.1	0.05	0.05	0.27	0.84
100009600	1.010	Glp1	0.46	0.52	0.44	0.00
100009609	2.481	ENSMUSG00000070600	0.01	0.01	0.01	0.00
100009698	1.497	LOC100009698	1.09	1.03	1.27	0.32
100012	1.832	Oog3	0.00	0.00	0.00	0.00
100017	3.783	Ldlrap1	4.70	3.59	3.05	0.01
100019	17.959	Mdn1	2.09	2.17	1.84	0.01
100033452	1.231	LOC100033452	0.52	0.49	4.19	0.90
100033459	2.987	9830148g24rik	0.01	0.01	0.01	0.44
100034251	0.469	RP23-430I21.1	1.61	1.62	1.37	0.00
100034361	1.889	Mfap1b	1.08	1.02	10.09	0.91
100034363	0.716	LOC100034363	1.60	0.90	1.19	0.36
100034662	1.686	LOC100034662	0.54	0.51	0.82	0.48
100034684	0.441	BC100530	0.00	0.00	0.00	0.00
100034724	0.698	LOC100034724	0.00	0.00	8.35	1.00
100034726	0.539	LOC100034726	0.09	0.09	11.54	0.99
100034727	0.495	LOC100034727	0.00	0.00	16.14	1.00
100034728	0.504	LOC100034728	0.00	0.00	14.23	1.00
100034729	1.974	LOC100034729	0.00	0.00	0.00	0.00
100036518	1.086	LOC100036518	0.00	0.00	0.00	0.00
100036521	2.221	LOC100036521	11.38	10.94	9.28	0.00
100037258	5.128	LOC100037258	8.00	6.69	5.71	0.01
100037278	2.482	LOC100037278	0.58	0.60	0.51	0.00
100037282	2.024	LOC100037282	1.48	1.42	11.59	0.90
100037283	1.836	LOC100037283	0.69	0.65	8.72	0.94
100038380	1.555	LOC100038380	0.03	0.03	0.03	0.00
100038429	0.660	LOC100038429	0.00	0.00	0.00	0.00
100038486	4.186	LOC100038486	0.13	0.39	0.34	0.04
100038493	0.587	LOC100038493	0.04	0.04	0.03	0.00
100038514	1.425	LOC100038514	4.40	1.89	1.60	0.00
100038570	0.886	LOC100038570	4.05	3.61	3.07	0.01
100038598	0.525	LOC100038598	0.23	0.22	0.19	0.00
100038600	2.063	LOC100038600	0.02	0.02	0.02	0.00
100038618	1.606	LOC100038618	0.03	0.03	0.06	0.59
100038635	5.968	LOC100038635	0.06	0.03	0.05	0.54
100038680	3.419	LOC100038680	0.00	0.00	0.02	1.00
100038683	1.203	LOC100038683	0.16	0.15	0.13	0.00
100038703	0.912	LOC100038703	1.04	0.99	0.86	0.02
100038822	4.531	LOC100038822	15.93	5.01	4.24	0.00
100038824	1.534	LOC100038824	0.05	0.03	0.03	0.00
100038830	2.439	LOC100038830	0.00	0.00	0.01	1.00
100038833	1.606	LOC100038833	0.03	0.03	0.07	0.66
100038842	1.159	LOC100038842	14.37	6.72	5.72	0.01
